,delta_cpu_ns,delta_io_bytes,delta_net_send_bytes,context_switches,syscall_count,delta_rss_memory,delta_cpu_time_psutil,delta_cpu_time_proc,delta_instructions,delta_cycles,delta_cache_misses,delta_branch_instructions,syscall_class_file,syscall_class_network,syscall_class_memory,syscall_class_process,syscall_class_other,syscall_class_sched,syscall_class_signal,syscall_class_time,interval_energy
delta_cpu_ns,1.0,0.3740184490844259,0.4256442741814948,0.43908251522412345,0.2663616830135157,0.11237491116276412,0.9487428022597991,0.5529152793618741,0.8011207371849405,0.9703528378264791,0.8254628693429983,0.8160598514970175,0.3068057736460872,0.05659675238058959,0.2242500365417496,0.277935457608094,0.425857322331855,-0.04480200806867917,0.3389810713832349,0.0037909426551202027,0.8755825621754052
delta_io_bytes,0.3740184490844259,1.0,0.3386978891968783,0.23969547359056104,0.2059660623187936,0.1658659227928993,0.3782813593123637,0.41768484919438903,0.33903349930689436,0.37337043123973807,0.39246192338176406,0.46855014003223255,0.2710504169653696,0.05651842275170394,0.22457367009499551,0.29734202757495476,0.43036810228924366,0.08985690618617004,0.28003378945313806,0.19345079730599157,0.42736396225211426
delta_net_send_bytes,0.4256442741814948,0.3386978891968783,1.0,0.3636661208926074,0.5353745511136967,0.22323355536884854,0.4336897317716477,0.7155629601975714,0.17986810318061702,0.3879606903210906,0.28507576916718674,0.538362067498996,0.5555277314519409,0.4919066907712376,0.5398020849806817,0.48605951631423266,0.7022758537686246,0.29300043656075814,0.5548066696525065,0.13631639037944948,0.39302314140130484
context_switches,0.43908251522412345,0.23969547359056104,0.3636661208926074,1.0,0.7118883965861912,0.10248595136176535,0.46760986101061797,0.22774113572059565,0.23691507863181144,0.41003969153199765,0.282315002764204,0.5130627683157564,0.7832314210266413,0.2558365090106426,0.36154141951535573,0.33275823579415564,0.5567234630717582,0.05856811365046728,0.37341448689552786,0.08884359441952194,0.3735134279948971
syscall_count,0.2663616830135157,0.2059660623187936,0.5353745511136967,0.7118883965861912,1.0,0.1455151608589626,0.28194408593382836,0.46130956348427204,-0.022874248509871693,0.2212263650019407,0.14523065041592606,0.43039539859082754,0.8532899675923272,0.3068988159074688,0.4698439319081863,0.48214027657921826,0.6217116518552328,0.350497795523072,0.5184243738188066,0.1332934966180533,0.2070734717234254
delta_rss_memory,0.11237491116276412,0.1658659227928993,0.22323355536884854,0.10248595136176535,0.1455151608589626,1.0,0.14225649363697263,0.24849034761189437,0.016434397104119553,0.09873421379150625,0.07055185273835933,0.15976872250263854,0.18292870233838218,0.12407363417269286,0.29941296616335594,0.21282200966581605,0.26533573346106853,0.06694533059842156,0.21549503256733837,0.08964163307943368,0.13023076842141784
delta_cpu_time_psutil,0.9487428022597991,0.3782813593123637,0.4336897317716477,0.46760986101061797,0.28194408593382836,0.14225649363697263,1.0,0.5777230682251807,0.7795217757956194,0.9667736793065742,0.8255693029426089,0.8111422126097169,0.3305429062472191,0.07279471671009945,0.2698984222628896,0.30524610437931576,0.4831306802180856,-0.0433662761661142,0.36376486591223844,0.0065690138204322875,0.9120663012136971
delta_cpu_time_proc,0.5529152793618741,0.41768484919438903,0.7155629601975714,0.22774113572059565,0.46130956348427204,0.24849034761189437,0.5777230682251807,1.0,0.21195693594295062,0.5493521490968345,0.5206671310369521,0.6113236313676089,0.37604003500897415,0.2705803014602192,0.4182643593885171,0.41935525165134735,0.6718872492935946,0.30068348141526735,0.4469093192707061,0.10622518803023058,0.5663153825479439
delta_instructions,0.8011207371849405,0.33903349930689436,0.17986810318061702,0.23691507863181144,-0.022874248509871693,0.016434397104119553,0.7795217757956194,0.21195693594295062,1.0,0.8256245688937985,0.7665432362386696,0.5806322535366807,0.03518504486253669,-0.11027697649838454,-0.005963264297499784,0.09677520645044774,0.09761418774494936,-0.12787674920292352,0.12345469795858323,-0.030670291043159038,0.7565609322603305
delta_cycles,0.9703528378264791,0.37337043123973807,0.3879606903210906,0.41003969153199765,0.2212263650019407,0.09873421379150625,0.9667736793065742,0.5493521490968345,0.8256245688937985,1.0,0.8556140868979704,0.8098222608782416,0.26415052974135433,0.03010591398030789,0.17994547778033826,0.23307725848118058,0.3889426030108587,-0.06745193406388994,0.28858598133409946,-0.012930288355726701,0.8980361157840668
delta_cache_misses,0.8254628693429983,0.39246192338176406,0.28507576916718674,0.282315002764204,0.14523065041592606,0.07055185273835933,0.8255693029426089,0.5206671310369521,0.7665432362386696,0.8556140868979704,1.0,0.6125615301388408,0.12697419153146805,-0.05137206423136479,0.056266399795097274,0.15961345571118632,0.28802703671273033,-0.05415587331165041,0.1809937469066304,-0.02653837464490773,0.8585775361280877
delta_branch_instructions,0.8160598514970175,0.46855014003223255,0.538362067498996,0.5130627683157564,0.43039539859082754,0.15976872250263854,0.8111422126097169,0.6113236313676089,0.5806322535366807,0.8098222608782416,0.6125615301388408,1.0,0.5329369645921177,0.1754070165557523,0.37550747934359224,0.3633425501084176,0.5674884487926785,0.026955614853744043,0.4281208043654385,0.051514405304235344,0.7882399672449266
syscall_class_file,0.3068057736460872,0.2710504169653696,0.5555277314519409,0.7832314210266413,0.8532899675923272,0.18292870233838218,0.3305429062472191,0.37604003500897415,0.03518504486253669,0.26415052974135433,0.12697419153146805,0.5329369645921177,1.0,0.3203289094790629,0.5098263680646978,0.4729014232963583,0.6068359165389153,0.15430227426815565,0.5235130142628024,0.11903088755590562,0.26529392152166364
syscall_class_network,0.05659675238058959,0.05651842275170394,0.4919066907712376,0.2558365090106426,0.3068988159074688,0.12407363417269286,0.07279471671009945,0.2705803014602192,-0.11027697649838454,0.03010591398030789,-0.05137206423136479,0.1754070165557523,0.3203289094790629,1.0,0.3884753794126422,0.28713368846180964,0.4132414572984993,0.22146892592197054,0.3275689281095726,0.29230824141789874,0.04199619291380776
syscall_class_memory,0.2242500365417496,0.22457367009499551,0.5398020849806817,0.36154141951535573,0.4698439319081863,0.29941296616335594,0.2698984222628896,0.4182643593885171,-0.005963264297499784,0.17994547778033826,0.056266399795097274,0.37550747934359224,0.5098263680646978,0.3884753794126422,1.0,0.49923617847328505,0.6136174671129411,0.2342814707966813,0.5547890449962476,0.2015903919765889,0.20684899221239905
syscall_class_process,0.277935457608094,0.29734202757495476,0.48605951631423266,0.33275823579415564,0.48214027657921826,0.21282200966581605,0.30524610437931576,0.41935525165134735,0.09677520645044774,0.23307725848118058,0.15961345571118632,0.3633425501084176,0.4729014232963583,0.28713368846180964,0.49923617847328505,1.0,0.6802521815968807,0.39897747236232967,0.8430397878780563,0.2045658588602186,0.2517051447321888
syscall_class_other,0.425857322331855,0.43036810228924366,0.7022758537686246,0.5567234630717582,0.6217116518552328,0.26533573346106853,0.4831306802180856,0.6718872492935946,0.09761418774494936,0.3889426030108587,0.28802703671273033,0.5674884487926785,0.6068359165389153,0.4132414572984993,0.6136174671129411,0.6802521815968807,1.0,0.2493976500174595,0.7367965961298927,0.19379850412439692,0.4469182712910707
syscall_class_sched,-0.04480200806867917,0.08985690618617004,0.29300043656075814,0.05856811365046728,0.350497795523072,0.06694533059842156,-0.0433662761661142,0.30068348141526735,-0.12787674920292352,-0.06745193406388994,-0.05415587331165041,0.026955614853744043,0.15430227426815565,0.22146892592197054,0.2342814707966813,0.39897747236232967,0.2493976500174595,1.0,0.1909685319298148,0.20530536750268114,-0.04958446571701023
syscall_class_signal,0.3389810713832349,0.28003378945313806,0.5548066696525065,0.37341448689552786,0.5184243738188066,0.21549503256733837,0.36376486591223844,0.4469093192707061,0.12345469795858323,0.28858598133409946,0.1809937469066304,0.4281208043654385,0.5235130142628024,0.3275689281095726,0.5547890449962476,0.8430397878780563,0.7367965961298927,0.1909685319298148,1.0,0.1675295600496348,0.29661764943435664
syscall_class_time,0.0037909426551202027,0.19345079730599157,0.13631639037944948,0.08884359441952194,0.1332934966180533,0.08964163307943368,0.0065690138204322875,0.10622518803023058,-0.030670291043159038,-0.012930288355726701,-0.02653837464490773,0.051514405304235344,0.11903088755590562,0.29230824141789874,0.2015903919765889,0.2045658588602186,0.19379850412439692,0.20530536750268114,0.1675295600496348,1.0,0.0061698024342937636
interval_energy,0.8755825621754052,0.42736396225211426,0.39302314140130484,0.3735134279948971,0.2070734717234254,0.13023076842141784,0.9120663012136971,0.5663153825479439,0.7565609322603305,0.8980361157840668,0.8585775361280877,0.7882399672449266,0.26529392152166364,0.04199619291380776,0.20684899221239905,0.2517051447321888,0.4469182712910707,-0.04958446571701023,0.29661764943435664,0.0061698024342937636,1.0
