feature,VIF
delta_cycles,39.59947448373964
delta_cpu_ns,24.540939008704775
delta_cpu_time_psutil,18.860985287656753
context_switches,5.107296485072978
delta_instructions,4.306146822811885
syscall_class_signal,3.954821060703414
delta_cache_misses,3.7436344156317816
syscall_class_file,3.447985209110838
delta_branch_instructions,2.252003836890215
delta_cpu_time_proc,2.062466847866078
syscall_class_network,1.7839811569039516
syscall_class_other,1.3059021184811108
syscall_count,1.0809601834212699
syscall_class_process,1.0682074498384468
delta_net_send_bytes,1.0618529260322696
syscall_class_memory,1.0576737232615103
syscall_class_sched,1.032444437576136
delta_rss_memory,1.0085200186808647
delta_io_bytes,1.0064508819397557
syscall_class_time,1.0012352570617384
