feature,VIF
delta_cpu_time_psutil,8.153281879685089
context_switches,5.026068023809454
syscall_class_signal,3.886004911817138
syscall_class_file,3.357124953386786
delta_instructions,3.1874528332191616
delta_cache_misses,3.1533801857244055
delta_branch_instructions,1.855956633827401
syscall_class_network,1.7839638942489757
delta_cpu_time_proc,1.7761987253276765
syscall_class_other,1.2237603250122782
delta_net_send_bytes,1.0564636679969843
syscall_class_process,1.0527551342472572
syscall_count,1.0482270723374394
syscall_class_memory,1.0428463254842124
syscall_class_sched,1.0261681679311374
delta_rss_memory,1.0055795401553291
delta_io_bytes,1.0052391655486588
syscall_class_time,1.0006471659781717
