feature,pearson,spearman
syscall_class_process,0.4367739343868788,0.4247892062115389
syscall_class_file,-0.013687352564333467,0.23309032566140506
delta_instructions,0.15643804378393547,0.23094366880235362
delta_branch_instructions,0.1546766439903116,0.2276862089105877
delta_net_send_bytes,0.14553852012947713,0.20212797676901023
delta_cycles,0.10745113621494189,0.20005520456958029
delta_cpu_ns,0.4425287872291895,0.07261920537030171
syscall_class_sched,0.08374485602604281,0.043378321929212316
delta_rss_memory,0.014353219696724368,0.028372583212827377
syscall_class_network,-0.04198176422652114,0.025485373640531876
syscall_class_memory,0.00623854236345371,0.009129888372794695
syscall_class_time,-0.002328220071880799,-0.009065437219963416
delta_cache_misses,-0.00924970816485912,-0.01252861882696596
syscall_class_signal,-0.09019371532829931,-0.07445186229030919
delta_io_bytes,-0.017180068798435196,-0.15129495984933103
syscall_class_other,-0.011472129619503025,-0.15547874227300051
syscall_count,-0.013400834484686904,-0.16753301368371423
context_switches,,
