feature,pearson,spearman
delta_cpu_ns,0.2309914484346727,0.2632835749805123
syscall_class_sched,0.005212924297742995,0.051598576009931396
syscall_class_process,-0.008559369365157596,0.01190890099414936
syscall_class_time,-0.030872408662317267,-0.015150157266334154
syscall_class_signal,-0.08529512829923225,-0.02103885617956146
delta_io_bytes,-0.02051199523077248,-0.0835676321672376
delta_rss_memory,-0.011822586957602197,-0.11477442505466634
syscall_class_other,-0.34384925115419823,-0.16245633844699917
delta_cycles,-0.2840793238779042,-0.1704103894445305
syscall_count,-0.3461369682492219,-0.1704270500860487
delta_branch_instructions,-0.31503454691556226,-0.17497918510314314
delta_instructions,-0.3153204431364802,-0.17689879574291695
syscall_class_network,-0.20157592020865736,-0.18003780256388915
syscall_class_memory,-0.1694952444280551,-0.18080111070733382
delta_net_send_bytes,-0.3370476433469305,-0.18575956207885372
syscall_class_file,-0.3483801722988428,-0.18681254130548394
delta_cache_misses,-0.2410552472428084,-0.22791371174657368
context_switches,,
