feature,pearson,spearman
delta_net_send_bytes,0.5910280203914959,0.5101499398301008
syscall_count,0.5540837358112173,0.40464858614735616
syscall_class_file,0.5712847420115464,0.39647381888166405
delta_cpu_ns,0.455693003818955,0.35372301772787335
syscall_class_other,0.37317772633720714,0.2990067449776198
syscall_class_network,0.12532308824160132,0.12392399897272319
delta_branch_instructions,0.28105814686529457,0.10597427588748855
delta_cycles,0.32965126743540246,0.10269975920993979
delta_instructions,0.280897283968437,0.0968252157594925
delta_io_bytes,0.067308959708036,0.06517155948104225
delta_cache_misses,0.2892189436964274,0.06233846078133662
syscall_class_time,0.037737847908787404,0.044349438606528846
delta_rss_memory,0.047880059188868646,0.040462123530104976
syscall_class_sched,0.03494020258592088,0.02760276531986297
syscall_class_memory,0.061414774640644765,0.02747539384238399
syscall_class_signal,-0.027907260404274468,0.009838060565939378
syscall_class_process,0.018642127970046548,0.0071569274981807315
context_switches,,
