segment_id	type	pipeline	start	stop	status	path	idle_seconds
idle-before	idle	__idle__	2026-05-20T15:09:31Z	2026-05-20T15:10:31Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-before	60
stress-before	stress	__stress__	2026-05-20T15:10:31Z	2026-05-20T15:13:31Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-before	
idle-after-stress-before	idle	__idle__	2026-05-20T15:13:31Z	2026-05-20T15:13:41Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-before	10
rnaseq-r1-20260520T151341Z	pipeline	nf-core/rnaseq	2026-05-20T15:13:41Z	2026-05-21T09:05:40Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/rnaseq-r1-20260520T151341Z	
stress-after-0-rep1	stress	__stress__	2026-05-21T09:06:10Z	2026-05-21T09:09:10Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-0-rep1	
idle-after-stress-0-rep1	idle	__idle__	2026-05-21T09:09:10Z	2026-05-21T09:09:20Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-0-rep1	10
rnaseq-r2-20260521T090920Z	pipeline	nf-core/rnaseq	2026-05-21T09:09:20Z	2026-05-22T03:05:02Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/rnaseq-r2-20260521T090920Z	
stress-after-0-rep2	stress	__stress__	2026-05-22T03:05:30Z	2026-05-22T03:08:30Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-0-rep2	
idle-after-stress-0-rep2	idle	__idle__	2026-05-22T03:08:30Z	2026-05-22T03:08:40Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-0-rep2	10
sarek-r1-20260522T030840Z	pipeline	nf-core/sarek	2026-05-22T03:08:40Z	2026-05-22T10:30:29Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/sarek-r1-20260522T030840Z	
stress-after-1-rep1	stress	__stress__	2026-05-22T10:30:55Z	2026-05-22T10:33:55Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-1-rep1	
idle-after-stress-1-rep1	idle	__idle__	2026-05-22T10:33:55Z	2026-05-22T10:34:05Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-1-rep1	10
sarek-r2-20260522T103405Z	pipeline	nf-core/sarek	2026-05-22T10:34:05Z	2026-05-22T17:56:02Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/sarek-r2-20260522T103405Z	
stress-after-1-rep2	stress	__stress__	2026-05-22T17:56:29Z	2026-05-22T17:59:29Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-1-rep2	
idle-after-stress-1-rep2	idle	__idle__	2026-05-22T17:59:29Z	2026-05-22T17:59:39Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-1-rep2	10
methylseq-r1-20260522T175939Z	pipeline	nf-core/methylseq	2026-05-22T17:59:39Z	2026-05-23T14:06:23Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/methylseq-r1-20260522T175939Z	
stress-after-2-rep1	stress	__stress__	2026-05-23T14:06:55Z	2026-05-23T14:09:55Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-2-rep1	
idle-after-stress-2-rep1	idle	__idle__	2026-05-23T14:09:55Z	2026-05-23T14:10:05Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-2-rep1	10
methylseq-r2-20260523T141005Z	pipeline	nf-core/methylseq	2026-05-23T14:10:05Z	2026-05-24T10:15:52Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/methylseq-r2-20260523T141005Z	
stress-after-2-rep2	stress	__stress__	2026-05-24T10:16:23Z	2026-05-24T10:19:23Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-2-rep2	
idle-after-stress-2-rep2	idle	__idle__	2026-05-24T10:19:23Z	2026-05-24T10:19:33Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-2-rep2	10
