task_id	native_id	process	tag	status	submit	start	complete	duration	realtime	%cpu	peak_rss	workdir
2	3115047	NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK	samplesheet_full.csv	COMPLETED	1779617995210	1779617995302	1779617996956	1746	0	84.6	9224192	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/6e/c8cba44c2674a99df04f6db9693cde
1	3115382	NFCORE_CHIPSEQ:PREPARE_GENOME:GTF2BED	genes.gtf	COMPLETED	1779618005574	1779618005580	1779618013818	8244	7000	100.7	1006764032	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/89/dc85265dd8e839665fc2136cfb675d
3	3116427	NFCORE_CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES	genome.fa	COMPLETED	1779618247196	1779618247246	1779618259457	12261	11000	100.8	5001216	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/f0/6d8c9fa5de6813a7c4bdd4164e4316
36	3117260	NFCORE_CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS	genome.fa.sizes	COMPLETED	1779618259591	1779618259658	1779618261425	1834	0	78.0	2727936	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/82/19b0ed134434a8b09f7a41020aea91
13	3117785	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	FOXA1_IP_E2_REP1_T1	COMPLETED	1779618368965	1779618368989	1779618469170	100205	99000	102.3	3442884608	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/3d/fb6ebd8658c703f6eef563e8a88660
15	3126589	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	FOXA1_IP_E2_REP2_T1	COMPLETED	1779618469178	1779618469270	1779618525997	56819	56000	105.5	3425513472	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/63/6c52d2731e4e2a8d6ead1941c720cf
12	3117793	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE	FOXA1_IP_E2_REP1_T1	COMPLETED	1779618368975	1779618368991	1779618530410	161435	160000	556.8	5047701504	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/ff/6287d222c9e9174b190c6146a33a5f
14	3129003	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE	FOXA1_IP_E2_REP2_T1	COMPLETED	1779618530424	1779618530510	1779618626192	95768	94000	543.5	2856128512	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/00/41a2fae121ebe16c790661b79e4504
16	3133448	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	FOXA1_IP_VEH_REP1_T1	COMPLETED	1779618560112	1779618560148	1779618650644	90532	89000	104.0	3265507328	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/f2/c858e806c2f638abf0c2b11c4ab124
18	3140737	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	FOXA1_IP_VEH_REP2_T1	COMPLETED	1779618650656	1779618650745	1779618703278	52622	52000	105.5	2522222592	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/e2/dfee0c24163422161452fcc5dcc42c
17	3136234	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE	FOXA1_IP_VEH_REP1_T1	COMPLETED	1779618626197	1779618626292	1779618776347	150150	149000	566.7	4706172928	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/00/e12e0a0e5a9ecea4450b4a899dda7b
19	3147301	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE	FOXA1_IP_VEH_REP2_T1	COMPLETED	1779618776352	1779618776448	1779618859767	83415	83000	537.1	2347012096	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/83/2fc46b26b0106911a82fda853ef1ee
9	3144733	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	EZH2_IP_TKO_REP1_T1	COMPLETED	1779618709290	1779618709387	1779619320207	610917	610000	101.4	3367043072	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/0e/bfbc11be6bdbcf493d71a677577fc6
20	3197677	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	INPUT_E2_REP1_T1	COMPLETED	1779619320212	1779619320307	1779619389405	69193	68000	104.9	3310239744	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/dc/6746e60ce54bef3c4f461a654676b3
23	3200339	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	INPUT_E2_REP2_T1	COMPLETED	1779619389415	1779619389505	1779619478521	89106	85000	104.5	3198156800	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/c9/62fb3a431dfcb810de6a0fb8527176
