task_id	native_id	process	tag	status	submit	start	complete	duration	realtime	%cpu	peak_rss	workdir
7	2591382	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO	SRX2370490	COMPLETED	1779777292533	1779777292569	1779777294450	1917	1000	19.4	11104256	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/92/e4d766eff23d5ca398004804b9334c
6	2591504	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO	SRX2370469	COMPLETED	1779777292565	1779777292663	1779777294597	2032	0	23.3	13463552	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/4d/f719adcd60dba30c033ce8cf7e05be
8	2591410	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO	SRX2370491	COMPLETED	1779777292541	1779777292569	1779777294694	2153	0	23.8	13619200	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/73/5482cfc08ec0f4049866f5d477a322
4	2591340	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO	SRX1603630	COMPLETED	1779777292501	1779777292563	1779777294817	2316	1000	19.0	13352960	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/cd/429835f284aee5660f085382598b80
3	2591360	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO	SRX1603629	COMPLETED	1779777292522	1779777292568	1779777294929	2407	1000	18.3	13983744	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/21/3bd401bd8146a7ac334b6a149ae918
5	2591432	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO	SRX2370468	COMPLETED	1779777292548	1779777292570	1779777295027	2479	0	25.8	13180928	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/bb/348cc6d144416aea177c4f4ad3cf9b
1	2591471	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO	SRX1603392	COMPLETED	1779777292557	1779777292571	1779777295138	2581	0	23.9	13422592	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/2e/fd747f3219f47ae5eb6fc98e9b6750
2	2591546	NFCORE_FETCHNGS:SRA:SRA_IDS_TO_RUNINFO	SRX1603393	COMPLETED	1779777292575	1779777292664	1779777295219	2644	0	24.4	13709312	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/e1/5137c6fd7c96cf96e62d0a97766ed5
9	2593125	NFCORE_FETCHNGS:SRA:SRA_RUNINFO_TO_FTP	-	COMPLETED	1779777294500	1779777294551	1779777296066	1566	0	118.0	13299712	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/3d/00ead21b22c0416c7ed9d5bc188803
11	2593327	NFCORE_FETCHNGS:SRA:SRA_RUNINFO_TO_FTP	-	COMPLETED	1779777294710	1779777294794	1779777296219	1509	0	120.2	13266944	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/f7/84aae38724824fd769fbe987b0801b
10	2593227	NFCORE_FETCHNGS:SRA:SRA_RUNINFO_TO_FTP	-	COMPLETED	1779777294612	1779777294695	1779777296402	1790	0	97.4	13262848	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/74/3099c7b9227a89402663d5306341ae
