task_id	native_id	process	tag	status	submit	start	complete	duration	realtime	%cpu	peak_rss	workdir
4	3820407	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC	SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	COMPLETED	1779545557973	1779545557997	1779545622409	64436	63000	201.7	8892887040	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/25/bd9a8cd560c41793dd1538536b3214
2	3828283	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	COMPLETED	1779545622420	1779545622508	1779545689818	67398	66000	202.7	7297306624	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/b5/e9b1262c5293b0dde29a4288d9b97f
3	3820396	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE	SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	COMPLETED	1779545557955	1779545557992	1779545784548	226593	225222	717.3	511803392	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/17/b1353f2110072af0f3b55f24a1d062
6	3833203	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC	SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	COMPLETED	1779545689829	1779545689918	1779545843447	153618	152000	201.3	7974895616	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/d7/813449204fabbbd44565118a77ed2e
14	3844180	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC	SRR7961164_GSM3415728_MShef4_J3	COMPLETED	1779545843459	1779545843547	1779545953721	110262	109000	202.1	7576494080	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/43/a1b8a96d54d308d4d1f26f44095846
1	3837334	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	COMPLETED	1779545784556	1779545784648	1779546029198	244642	243586	718.9	583327744	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/5c/04029e23eb89cd2a80095af5462414
12	3850657	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC	SRR7961161_GSM3415725_MShef4_J1	COMPLETED	1779545953729	1779545953821	1779546152990	199261	198000	199.6	8567799808	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/a9/53af531eb04d6fd4579f5f0a034c8e
13	3876170	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC	SRR7961163_GSM3415727_MShef4_J2	COMPLETED	1779546152996	1779546153090	1779546238148	85152	84000	202.4	6810017792	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/2d/a3cf5a63b762400ca37984490b8d95
5	3854229	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE	SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	COMPLETED	1779546029208	1779546029298	1779546625809	596601	595624	729.6	467386368	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/e7/3a7bdb7a89930ec4f31d6b152da004
11	3897667	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE	SRR7961164_GSM3415728_MShef4_J3	COMPLETED	1779546625815	1779546625909	1779547039813	413998	413325	731.2	470519808	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/33/56a038f198c675776b77ce6697a297
