task_id	native_id	process	tag	status	submit	start	complete	duration	realtime	%cpu	peak_rss	workdir
1	3612432	NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX	genome.fa	COMPLETED	1779354869665	1779354869741	1779354880808	11143	9685	101.1	5410816	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/b1/35ec7617a0c55abc725c4491045ebe
3	3614411	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT	GM12878_REP1	COMPLETED	1779355885712	1779355885761	1779356275701	389989	389000	100.8	685473792	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/79/a9f7df082e0fe6eb457dedf3f8042c
9	3615574	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT	H1_REP1	COMPLETED	1779355933110	1779355933126	1779356417344	484234	483000	100.8	685551616	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/0f/eb62536dfd57f6692e84e8c6abb8fe
8	3630699	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT	MCF7_REP2	COMPLETED	1779356134519	1779356134539	1779356659867	525348	524000	100.8	685498368	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/ce/f5c9b1635f7f4022291b915bb15eba
6	3632331	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT	K562_REP2	COMPLETED	1779356165987	1779356166074	1779356677385	511398	510000	100.8	685408256	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/0c/489bfe60557a28becebf46a68c49b7
12	3637484	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	GM12878_REP1	COMPLETED	1779356276104	1779356276202	1779356824666	548562	548000	200.7	2909028352	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/c2/f40ef18478de08c2ac797fa0800962
10	3655729	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT	H1_REP2	COMPLETED	1779356417352	1779356417444	1779356850763	433411	433000	100.8	682582016	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/fc/8f99fb7af7775cceaafefe6a1ad899
14	3682952	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	H1_REP1	COMPLETED	1779356659874	1779356659966	1779357299346	639472	638000	200.0	3717754880	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/03/7a5ee5d93c48bcef127044fb5b5916
2	3730068	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER	genome.fa	COMPLETED	1779357299352	1779357299448	1779357318615	19263	18000	100.5	15831040	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/6f/e06267628a68b601f3e1c5c14602cb
16	3685538	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	MCF7_REP2	COMPLETED	1779356677392	1779356677485	1779357352274	674882	674000	201.2	3851227136	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/ba/db916a81d43fc597c786d3c1657182
