task_id	native_id	process	tag	status	submit	start	complete	duration	realtime	%cpu	peak_rss	workdir
5	1779332	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED	S07604624_Padded_Agilent_SureSelectXT_allexons_V6_UTR	COMPLETED	1779419380523	1779419380548	1779419382098	1575	680	111.5	6422528	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/6f/1bedaa263d6a40e03ead16ce147844
4	1779255	NFCORE_SAREK:PREPARE_GENOME:UNZIP_LOCI	G1000_loci_hg38.zip	COMPLETED	1779419378752	1779419378845	1779419382344	3592	0	98.6	6455296	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/a6/d056a27894af68049b1815fbf5f93c
2	1779296	NFCORE_SAREK:PREPARE_GENOME:UNZIP_ALLELES	G1000_alleles_hg38.zip	COMPLETED	1779419378878	1779419378943	1779419382487	3609	1000	103.5	10788864	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/dc/b8456ca8d08597b76c6f95f412c784
3	1779372	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	S07604624_Padded_Agilent_SureSelectXT_allexons_V6_UTR.bed	COMPLETED	1779419380604	1779419380648	1779419382799	2195	2000	101.7	6848512	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/6a/0689fad0512661564ae21a56a4061e
1	1780432	NFCORE_SAREK:PREPARE_GENOME:UNZIP_GC	GC_G1000_hg38.zip	COMPLETED	1779419382873	1779419382899	1779419386322	3449	2000	100.4	11567104	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/5e/22df54de56cadcd6c934a4b768d04a
10	1781042	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr17_38877931-38878296	COMPLETED	1779419386018	1779419386108	1779419387022	1004	153	104.8	6389760	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/f2/7a2f4c31eccf3c72ec26a76a071ea4
9	1781030	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr1_11981-12351	COMPLETED	1779419386014	1779419386106	1779419387508	1494	549	115.4	6434816	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/f9/e942ad5699f10d983589011fe0c01e
6	1780686	NFCORE_SAREK:PREPARE_GENOME:UNZIP_RT	RT_G1000_hg38.zip	COMPLETED	1779419384561	1779419384602	1779419388220	3659	3000	100.6	10665984	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/0f/ff673090c98f766f83317ff1622dd3
7	1779383	NFCORE_SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET	intervals	COMPLETED	1779419380617	1779419380649	1779419451518	70901	11000	157.8	399360000	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/8e/cedd10d7b0e2630408bc1f2f0474e9
8	1782987	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_MUSE:TABIX_MUSE	dbsnp	COMPLETED	1779419531531	1779419531629	1779419584697	53166	52036	192.8	21663744	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/d1/15c85c690d9314cf4d4d630a3f9392
